hypothesis,variant,player_id,count
H1,A,Player B,4
H1,A,Player C,1
H1,A,Player D,4
H1,B,Player E,4
H1,B,Player F,4
H1,B,Player G,4
H2,A,Player E,4
H2,A,Player F,4
H2,A,Player G,4
H2,B,Player A,4
H2,B,Player D,4
H2,B,Player E,4
H3,A,Player B,4
H3,A,Player C,4
H3,A,Player D,4
H3,B,Player A,4
H3,B,Player D,4
H3,B,Player E,4
H4,A,Player D,4
H4,A,Player E,4
H4,B,Player E,4
H4,B,Player F,4
H4,B,Player G,4
H5,A,Player B,4
H5,A,Player C,4
H5,A,Player D,4
H5,B,Player A,1
H5,B,Player D,4
H5,B,Player E,4
H5,B,Player F,3
